lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,variable,rmse,mae,r2
lab2,head_only,lab2_active_1_6_7_8_12,"Lab2 active set [1, 6, 7, 8, 12]",5,8,temperature,0.274060800942643,0.19374465140012595,0.9448139059724837
lab2,head_only,lab2_active_1_6_8,"Lab2 active set [1, 6, 8]",3,10,humidity,0.7819489884571199,0.5783991607335898,0.9507506325365696
lab2,head_only,lab2_active_1_6_8,"Lab2 active set [1, 6, 8]",3,10,temperature,0.25622271350434445,0.17424099720441377,0.9512071617939809
lab2,head_only,lab2_active_1_6_9,"Lab2 active set [1, 6, 9]",3,10,humidity,0.7279163152569545,0.5226091467417203,0.9578236973289826
lab2,head_only,lab2_active_1_6_9,"Lab2 active set [1, 6, 9]",3,10,temperature,0.2682369859512931,0.18562136819729438,0.9468417402662735
lab2,head_only,lab2_active_1_7,"Lab2 active set [1, 7]",2,11,humidity,0.8791381443303774,0.6733569915478046,0.9378644378333238
lab2,head_only,lab2_active_1_7,"Lab2 active set [1, 7]",2,11,temperature,0.32927032134639883,0.24647091214473432,0.9196718591215413
lab2,head_only,lab2_active_1_7_10,"Lab2 active set [1, 7, 10]",3,10,humidity,0.7193076205464288,0.5059673235966609,0.9560696225831881
lab2,head_only,lab2_active_1_7_10,"Lab2 active set [1, 7, 10]",3,10,temperature,0.28616140754771463,0.1926375673367427,0.9383297289367977
lab2,head_only,lab2_active_1_7_11,"Lab2 active set [1, 7, 11]",3,10,humidity,0.7219417714568439,0.5399523446193109,0.9576563592439696
lab2,head_only,lab2_active_1_7_11,"Lab2 active set [1, 7, 11]",3,10,temperature,0.2640518536133119,0.1740124964943299,0.9478638911065718
lab2,head_only,lab2_active_1_7_12,"Lab2 active set [1, 7, 12]",3,10,humidity,0.7867060677902695,0.5827369116819822,0.9489317691253879
lab2,head_only,lab2_active_1_7_12,"Lab2 active set [1, 7, 12]",3,10,temperature,0.2944070774436055,0.20984389919501084,0.9357007266676501
lab2,head_only,lab2_active_1_7_13,"Lab2 active set [1, 7, 13]",3,10,humidity,0.8693538951481354,0.6821377048125634,0.939664423861222
lab2,head_only,lab2_active_1_7_13,"Lab2 active set [1, 7, 13]",3,10,temperature,0.33512977474604744,0.2511969059705734,0.9173662026668689
lab2,head_only,lab2_active_1_7_8,"Lab2 active set [1, 7, 8]",3,10,humidity,0.7584181053555666,0.5425236844099485,0.9521455814824761
lab2,head_only,lab2_active_1_7_8,"Lab2 active set [1, 7, 8]",3,10,temperature,0.2803542720129286,0.1876319841696666,0.9411767201323116
lab2,head_only,lab2_active_1_7_9,"Lab2 active set [1, 7, 9]",3,10,humidity,0.7841140583383701,0.5964385500321021,0.9507721985053456
lab2,head_only,lab2_active_1_7_9,"Lab2 active set [1, 7, 9]",3,10,temperature,0.29255170768775857,0.21359489055780265,0.9367591780910366
lab2,head_only,lab2_active_1_8,"Lab2 active set [1, 8]",2,11,humidity,0.8613720069173715,0.6254297288564535,0.9400396383681459
lab2,head_only,lab2_active_1_8,"Lab2 active set [1, 8]",2,11,temperature,0.26886411898333884,0.1882610538831124,0.9465954428363644
lab2,head_only,lab2_active_1_8_10,"Lab2 active set [1, 8, 10]",3,10,humidity,0.7976178770119233,0.5618321276628054,0.9469993655794317
lab2,head_only,lab2_active_1_8_10,"Lab2 active set [1, 8, 10]",3,10,temperature,0.2526704133012765,0.16317397356033325,0.9518863455102369
lab2,head_only,lab2_active_1_8_11,"Lab2 active set [1, 8, 11]",3,10,humidity,0.7358908112091862,0.5506043640466837,0.9560540326024284
lab2,head_only,lab2_active_1_8_11,"Lab2 active set [1, 8, 11]",3,10,temperature,0.26153708994302527,0.18883706629276276,0.949023191312221
lab2,head_only,lab2_active_1_8_11_12_13,"Lab2 active set [1, 8, 11, 12, 13]",5,8,humidity,0.7205154253287829,0.5219536217359396,0.9580533041873304
lab2,head_only,lab2_active_1_8_11_12_13,"Lab2 active set [1, 8, 11, 12, 13]",5,8,temperature,0.25328278092619705,0.17076261972005552,0.952554033185365
lab2,head_only,lab2_active_1_8_12,"Lab2 active set [1, 8, 12]",3,10,humidity,0.7103896779273017,0.5025556683540344,0.9588582645760965
lab2,head_only,lab2_active_1_8_12,"Lab2 active set [1, 8, 12]",3,10,temperature,0.2697483292052817,0.19118412756002867,0.946439579502358
lab2,head_only,lab2_active_1_8_13,"Lab2 active set [1, 8, 13]",3,10,humidity,0.7625251101126439,0.5443412638627566,0.9525143012446194
lab2,head_only,lab2_active_1_8_13,"Lab2 active set [1, 8, 13]",3,10,temperature,0.30247079007561584,0.23099243640899658,0.9321806270061544
lab2,head_only,lab2_active_1_8_9,"Lab2 active set [1, 8, 9]",3,10,humidity,0.7372571072479416,0.5464833057843722,0.9551970770585534
lab2,head_only,lab2_active_1_8_9,"Lab2 active set [1, 8, 9]",3,10,temperature,0.2641557638545368,0.18075818052658668,0.9479909211029383
