transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2,active_count,rank_within_k,source_score,source_r2_temperature,source_r2_humidity,active_total_nominal
full_finetune,lab2_active_5_7,"Lab2 active set [5, 7]",11,temperature,0.21416853790533058,0.1473163480942066,0.9739607437237224,2,4.0,0.9013953453485144,0.9330976070759144,0.8696930836211141,2
full_finetune,lab2_active_5_9,"Lab2 active set [5, 9]",11,humidity,0.7097002350817126,0.4541816871899825,0.9595222068406642,2,1.0,0.9054522205009132,0.93457771070302,0.8763267302988064,2
full_finetune,lab2_active_5_9,"Lab2 active set [5, 9]",11,temperature,0.19981087884790733,0.1328755754690904,0.977078593448472,2,1.0,0.9054522205009132,0.93457771070302,0.8763267302988064,2
full_finetune,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,humidity,0.5698873329588438,0.39209043979644775,0.972265316547361,5,3.0,0.910945184254558,0.9406292495814974,0.8812611189276185,5
full_finetune,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,temperature,0.17610492557882163,0.11798126479754081,0.982229815103113,5,3.0,0.910945184254558,0.9406292495814974,0.8812611189276185,5
full_finetune,lab2_active_6_9_10,"Lab2 active set [6, 9, 10]",10,humidity,0.6912502261264465,0.4824524659376878,0.9605347627893892,3,5.0,0.9153763524446158,0.93494266548191,0.8958100394073215,3
full_finetune,lab2_active_6_9_10,"Lab2 active set [6, 9, 10]",10,temperature,0.20418062634528414,0.13531150095737898,0.9763077809964175,3,5.0,0.9153763524446158,0.93494266548191,0.8958100394073215,3
full_finetune,lab2_active_8_10,"Lab2 active set [8, 10]",11,humidity,0.6969746171656005,0.44471845947779143,0.9598902767225364,2,3.0,0.9026187387670984,0.9333923944250012,0.8718450831091956,2
full_finetune,lab2_active_8_10,"Lab2 active set [8, 10]",11,temperature,0.18136207331965348,0.12090042462715736,0.9814906466825852,2,3.0,0.9026187387670984,0.9333923944250012,0.8718450831091956,2
full_finetune,lab2_all13,Lab2 all 13 active,0,humidity,0.5745966245992554,0.3564306050539017,0.972121297486675,13,,,,,13
full_finetune,lab2_all13,Lab2 all 13 active,0,temperature,0.15867128091111932,0.1038197261782793,0.9853725259721663,13,,,,,13
