transfer_mode,protocol_name,display_name,masked_total,r2_humidity,r2_temperature,active_count,score
head_only,lab2_active_11_13,"Lab2 active set [11, 13]",11,0.7512199105285059,0.8667599199895244,2,0.8089899152590152
head_only,lab2_active_4_11,"Lab2 active set [4, 11]",11,0.7625689070726233,0.8323631982434385,2,0.7974660526580308
head_only,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,0.8977456457737232,0.9409863300645436,3,0.9193659879191334
head_only,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,0.897009624831488,0.9351454362444789,3,0.9160775305379835
head_only,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",10,0.8922304337760772,0.9395907101033968,3,0.915910571939737
head_only,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",10,0.8925833742277067,0.9385801849540223,3,0.9155817795908645
head_only,lab2_active_6_9_10,"Lab2 active set [6, 9, 10]",10,0.8958100394073215,0.9349426654819101,3,0.9153763524446158
head_only,lab2_active_3_6_9,"Lab2 active set [3, 6, 9]",10,0.899357892904471,0.9301945767696613,3,0.9147762348370662
head_only,lab2_active_2_5_9,"Lab2 active set [2, 5, 9]",10,0.8903292826095914,0.9389781150701976,3,0.9146536988398946
head_only,lab2_active_1_5_9,"Lab2 active set [1, 5, 9]",10,0.8898293754245228,0.9354620529957555,3,0.9126457142101392
head_only,lab2_active_6_8_9,"Lab2 active set [6, 8, 9]",10,0.8907943000876235,0.9327862477413641,3,0.9117902739144939
head_only,lab2_active_2_3_9,"Lab2 active set [2, 3, 9]",10,0.8929384917236275,0.9273672789071379,3,0.9101528853153826
head_only,lab2_active_6_7_10,"Lab2 active set [6, 7, 10]",10,0.8818644396123234,0.9374477664013559,3,0.9096561030068396
head_only,lab2_active_5_9_12,"Lab2 active set [5, 9, 12]",10,0.8830427091024075,0.9361169088882769,3,0.9095798089953422
head_only,lab2_active_4_6_8,"Lab2 active set [4, 6, 8]",10,0.8880310580834261,0.9307209544250638,3,0.9093760062542449
head_only,lab2_active_2_8_9,"Lab2 active set [2, 8, 9]",10,0.8844942606633166,0.9339795316634559,3,0.9092368961633863
